,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,artist,song
125,0.805,0.968,-3.909,0.227,0.00707,0.00091,0.368,0.211,127.984,4GwXdVLueKZ8YhYjZmWtYh,133125,W&W,Live The Night
126,0.592,0.911,-7.975,0.0659,0.00608,0.0123,0.223,0.211,103.517,24qJb0DCHAnN7rKeU7Nx86,215773,Armin van Buuren,Great Spirit
127,0.487,0.888,-2.831,0.05,0.0245,6.65e-06,0.235,0.408,150.03,71ITZ2LRx7hgMa8YJfGysj,272241,Envine,The Meaning - Original Mix
128,0.381,0.828,-4.58,0.0504,0.0592,0.000171,0.487,0.198,149.82,6llBLlmtvFcTlTUq5PcEcx,236817,Envine,Sunlight - Edit
129,0.299,0.966,-3.56,0.0852,0.0911,0.0,0.639,0.562,149.981,1yjTepZrEnDX4TQK7wSbv3,227200,NSCLT,The Rush (Ecstatic Remix)
130,0.356,0.932,-4.013,0.0648,0.00126,0.0142,0.86,0.212,150.066,2ocrZaVzBppOUpr1sYO8h6,177412,D-Charged,Fly Away - Radio Edit
131,0.394,0.911,-3.786,0.037,0.00393,1.66e-06,0.494,0.219,150.097,17PX2FwFNWTDJqLiI3rzz1,175200,Shockwave,Oasis
132,0.566,0.761,-4.927,0.0357,0.104,2.44e-06,0.0849,0.475,149.982,0F4tIBbH1J6KE2LIaFirq8,213380,Coone,Faye
133,0.574,0.838,-4.941,0.0398,0.0179,0.0112,0.117,0.0957,112.256,4MLtWrfGM9w75Sbs6q8AjZ,170000,Psyko Punkz,Rise Of The Restless - The Qontinent Anthem 2016
134,0.413,0.851,-4.69,0.0605,0.0613,0.0167,0.107,0.171,127.875,1ags60Iq9M0vFlvSLAOZE4,258281,Kaskade,Last Chance
135,0.509,0.607,-8.546,0.0823,0.0133,0.271,0.101,0.0611,129.924,6MOivDACkYwWozUoKhhsHl,228923,George Acosta,Nite Time - Radio Edit
136,0.801,0.984,-4.021,0.0967,0.113,0.432,0.0311,0.345,128.047,4BpMEmysttF6z7BjSCUmU9,211874,Tiësto,Get Down
137,0.483,0.787,-5.244,0.102,0.112,0.0,0.257,0.58,122.058,1cG0umU5TKStygKsPFZ9pY,191379,Robin Schulz,Shed a Light
138,0.393,0.94,-3.894,0.0718,0.0663,0.00264,0.546,0.297,129.958,6tPJXUMn1AjvEBqzwTUHOU,147231,W&W,Whatcha Need
139,0.653,0.81,-6.032,0.0558,0.118,0.0,0.126,0.583,121.951,3bWAqKDWg6u1davspr5IkS,189307,Robin Schulz,OK
140,0.382,0.947,-5.93,0.0662,0.0132,0.698,0.143,0.0728,103.495,2wy29RBixBECDOsXuBs7md,474783,Hilight Tribe,Free Tibet - Vini Vici Remix
141,0.681,0.938,-5.178,0.0984,0.0962,0.000594,0.0954,0.57,121.99,5SSHdx7sAEcQypuvxOaRuo,240021,Alfred Beck,Peaceful (ft. Sapir Amar)
142,0.716,0.983,-3.433,0.053,0.000806,0.794,0.214,0.722,126.009,2j2OqEZ4EPOXGpF4QYzU7q,187143,Sander van Doorn,Raise Your Hands Up
143,0.626,0.781,-5.769,0.0375,0.321,0.00468,0.349,0.231,123.956,1T6yWVW5ftl0NQqJHgFQSP,211139,MOGUAI,Pray for Rain
144,0.827,0.576,-3.496,0.39,0.123,0.266,0.14,0.417,124.004,0thqWVpI0NTefehWaXgvei,360962,Cat Dealers,Your Body - Cat Dealers Extended
145,0.865,0.496,-4.21,0.126,0.00338,0.833,0.047,0.174,127.988,3xcMEY6lVtFCJ5kLf9mFNK,221250,Carnage,Toca (feat. Timmy Trumpet & KSHMR)
146,0.459,0.94,-4.124,0.0556,0.00191,3.58e-05,0.46,0.152,149.992,1XkbOMaJvFosi44z1Kzk9r,221600,Hardwell,Apollo - Dr Phunk Remix
147,0.628,0.833,-4.126,0.0282,0.0079,1.48e-05,0.074,0.56,128.003,5rePjHvMXWqVt1EenTR1w1,218293,Zedd,Beautiful Now
148,0.62,0.982,-3.234,0.494,0.0105,0.00647,0.119,0.214,132.055,2PE8Sj15gIL7YET4gxwO1u,149625,Armin van Buuren,Dominator
149,0.735,0.784,-7.128,0.0332,0.449,0.154,0.105,0.582,120.012,0fsEFwLSJTSHSawhe864Cp,191000,Imagine Dragons,Shots - Broiler Remix
150,0.632,0.88,-7.582,0.0442,0.00224,0.625,0.149,0.23,129.991,5bbXNfvMHto9OBK23uppEd,189960,Armin van Buuren,My Symphony (The Best Of Armin Only Anthem)
151,0.655,0.818,-3.626,0.033,0.0842,0.0,0.106,0.474,115.971,2kYqdSlrtovVMMIn6ykzba,240413,Alesso,I Wanna Know
152,0.582,0.979,-2.492,0.0714,0.125,0.00152,0.339,0.196,128.01,712Hktc9DnU5u9uOSn1q1Y,172500,KSHMR,Bazaar - Official Sunburn Goa 2015 Anthem
153,0.823,0.723,-8.105,0.0672,9.71e-05,0.501,0.0575,0.423,122.013,2g4mmwaIft7aEfN8Uyh1uD,368341,Phonique,Grass Is Greener - Bruno Be Remix
154,0.69,0.989,-1.368,0.0573,0.000205,0.907,0.904,0.349,124.007,6ia0jZaCXv4B2T2NdODeGx,193548,Luca Debonaire,Headrockers
155,0.677,0.952,-4.358,0.0554,0.000756,0.582,0.14,0.393,123.003,5uNfGGCrL1YiX7uW43IkN9,380488,Leandro Da Silva,Chuva de Verao
156,0.841,0.973,-2.057,0.0824,0.00282,0.945,0.0316,0.207,128.0,6FWvQYFOaF9HspEKO5lqzg,213750,TJR,Freaks
157,0.59,0.647,-5.06,0.033,0.00809,4.52e-05,0.0921,0.393,127.979,1u6LOWtdWA2wwa3CryIBsS,192307,Armin van Buuren,Another You
158,0.428,0.656,-3.712,0.075,0.0751,0.181,0.15,0.355,79.648,15BlympuVSfZFROojEMY2M,218933,The Chainsmokers,Don't Let Me Down (feat. Daya) - Illenium Remix
